Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note,
A01,SYBR,,Unkn,4-T41-5,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
A02,SYBR,,Unkn,4-T41-5,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
A03,SYBR,,Unkn,6-T41-5,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
A04,SYBR,,Unkn,6-T41-5,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
A05,SYBR,,Unkn,10-T41-5,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
A06,SYBR,,Unkn,10-T41-5,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
A07,SYBR,,Unkn,5-T41-5,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
A08,SYBR,,Unkn,5-T41-5,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
A09,SYBR,,Unkn,8-T41-5,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
A10,SYBR,,Unkn,8-T41-5,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
A11,SYBR,,Unkn,1-T41-5,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
A12,SYBR,,Unkn,1-T41-5,,37,9508901155292,37,9508901155292,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
B01,SYBR,,Unkn,2-T41-5,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
B02,SYBR,,Unkn,2-T41-5,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
B03,SYBR,,Unkn,11-T41-5,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
B04,SYBR,,Unkn,11-T41-5,,37,9414045174679,37,9414045174679,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
B05,SYBR,,Unkn,3-T41-5,,39,6842830681175,39,6842830681175,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
B06,SYBR,,Unkn,3-T41-5,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
B07,SYBR,,Unkn,7-T41-5,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
B08,SYBR,,Unkn,7-T41-5,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
B09,SYBR,,Unkn,9-T41-5,,29,1099039103891,29,1099039103891,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
B10,SYBR,,Unkn,9-T41-5,,28,7078671487911,28,7078671487911,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
B11,SYBR,,Unkn,12-T41-5,,35,8859577611532,35,8859577611532,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
B12,SYBR,,Unkn,12-T41-5,,34,9052404158087,34,9052404158087,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
C01,SYBR,,Unkn,4-T41-6,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
C02,SYBR,,Unkn,4-T41-6,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
C03,SYBR,,Unkn,6-T41-6,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
C04,SYBR,,Unkn,6-T41-6,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
C05,SYBR,,Unkn,10-T41-6,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
C06,SYBR,,Unkn,10-T41-6,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
C07,SYBR,,Unkn,5-T41-6,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
C08,SYBR,,Unkn,5-T41-6,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
C09,SYBR,,Unkn,8-T41-6,,36,2688827126004,36,2688827126004,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
C10,SYBR,,Unkn,8-T41-6,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
C11,SYBR,,Unkn,1-T41-6,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
C12,SYBR,,Unkn,1-T41-6,,37,1319599399805,37,1319599399805,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
D01,SYBR,,Unkn,2-T41-6,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
D02,SYBR,,Unkn,2-T41-6,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
D03,SYBR,,Unkn,11-T41-6,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
D04,SYBR,,Unkn,11-T41-6,,36,5957298043754,36,5957298043754,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
D05,SYBR,,Unkn,3-T41-6,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
D06,SYBR,,Unkn,3-T41-6,,35,9756107560176,35,9756107560176,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
D07,SYBR,,Unkn,7-T41-6,,38,4204816575757,38,4204816575757,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
D08,SYBR,,Unkn,7-T41-6,,37,4468067810841,37,4468067810841,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
D09,SYBR,,Unkn,9-T41-6,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
D10,SYBR,,Unkn,9-T41-6,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
D11,SYBR,,Unkn,12-T41-6,,36,4986392503296,36,4986392503296,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
D12,SYBR,,Unkn,12-T41-6,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
E01,SYBR,,Unkn,4-T41-7,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
E02,SYBR,,Unkn,4-T41-7,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
E03,SYBR,,Unkn,6-T41-7,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
E04,SYBR,,Unkn,6-T41-7,,38,5466662738198,38,5466662738198,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
E05,SYBR,,Unkn,10-T41-7,,22,2729985937487,22,2729985937487,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
E06,SYBR,,Unkn,10-T41-7,,22,6673689995196,22,6673689995196,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
E07,SYBR,,Unkn,5-T41-7,,37,4294994573506,37,4294994573506,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
E08,SYBR,,Unkn,5-T41-7,,39,7969517636079,39,7969517636079,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
E09,SYBR,,Unkn,8-T41-7,,33,9580527161197,33,9580527161197,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
E10,SYBR,,Unkn,8-T41-7,,35,3299667350327,35,3299667350327,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
E11,SYBR,,Unkn,1-T41-7,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
E12,SYBR,,Unkn,1-T41-7,,34,5136624942839,34,5136624942839,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
F01,SYBR,,Unkn,2-T41-7,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
F02,SYBR,,Unkn,2-T41-7,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
F03,SYBR,,Unkn,11-T41-7,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
F04,SYBR,,Unkn,11-T41-7,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
F05,SYBR,,Unkn,3-T41-7,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
F06,SYBR,,Unkn,3-T41-7,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
F07,SYBR,,Unkn,7-T41-7,,38,120154227569,38,120154227569,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
F08,SYBR,,Unkn,7-T41-7,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
F09,SYBR,,Unkn,9-T41-7,,38,826979962499,38,826979962499,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
F10,SYBR,,Unkn,9-T41-7,,37,8917952504119,37,8917952504119,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
F11,SYBR,,Unkn,12-T41-7,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
F12,SYBR,,Unkn,12-T41-7,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
G01,SYBR,,Unkn,4-T41-8,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
G02,SYBR,,Unkn,4-T41-8,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
G03,SYBR,,Unkn,6-T41-8,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
G04,SYBR,,Unkn,6-T41-8,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
G05,SYBR,,Unkn,10-T41-8,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
G06,SYBR,,Unkn,10-T41-8,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
G07,SYBR,,Unkn,5-T41-8,,26,3350107684197,26,3350107684197,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
G08,SYBR,,Unkn,5-T41-8,,26,1726363594141,26,1726363594141,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
G09,SYBR,,Unkn,8-T41-8,,30,9816806903728,30,9816806903728,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
G10,SYBR,,Unkn,8-T41-8,,30,4504845647184,30,4504845647184,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
G11,SYBR,,Unkn,1-T41-8,,35,7115625523655,35,7115625523655,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
G12,SYBR,,Unkn,1-T41-8,,39,7663038705399,39,7663038705399,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
H01,SYBR,,Unkn,2-T41-8,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
H02,SYBR,,Unkn,2-T41-8,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
H03,SYBR,,Unkn,11-T41-8,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
H04,SYBR,,Unkn,11-T41-8,,36,5722169538513,36,5722169538513,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
H05,SYBR,,Unkn,3-T41-8,,35,2641982887049,35,2641982887049,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
H06,SYBR,,Unkn,3-T41-8,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
H07,SYBR,,Unkn,7-T41-8,,38,6504707828812,38,6504707828812,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
H08,SYBR,,Unkn,7-T41-8,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
H09,SYBR,,Unkn,9-T41-8,,25,125599166241,25,125599166241,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
H10,SYBR,,Unkn,9-T41-8,,24,9963745526034,24,9963745526034,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
H11,SYBR,,Unkn,12-T41-8,,Non un numero reale,0,0,Non un numero reale,Non un numero reale,0,0,60,,
H12,SYBR,,Unkn,12-T41-8,,35,1005159719408,35,1005159719408,0,Non un numero reale,Non un numero reale,Non un numero reale,0,60
